mu_MLE,sigma_MLE,mu_std,sigma_std,mu_MOM,sigma_MOM,Inference_grade,Score,mu_gt,sigma_gt
8.142743352269521,0.5943190748439071,0.007862300461638622,0.005987549708691472,8.142697321317616,0.6484572960169084,1.0,0.0,8.140655388046232,0.6043939930366633
8.868124343432358,0.6353808840984649,0.008334324341451092,0.006294393093695165,8.867166632154957,0.6862774843428207,1.0,0.0,8.864493486428971,0.6426936507913367
7.370926652107995,0.8034870878415982,0.010590318596465077,0.007824481331364458,7.371572180676001,0.8433690410286908,1.0,0.0,7.368765270117779,0.8066416765672184
9.13864128073174,0.7177856313043105,0.009421381233048103,0.007031064675112478,9.140161273848664,0.76386946592937,1.0,0.0,9.154152202159565,0.7277137289236022
6.190078964087821,0.6121969994476163,0.008109715808088813,0.006159664632019177,6.189648158876256,0.6650537106418969,1.0,0.0,6.185708752750926,0.6173824494124304
9.078137493236119,0.5768375498278201,0.007715490835057369,0.005887743559762374,9.078651828677422,0.6299114848047975,1.0,0.0,9.079290953797576,0.5849027075200413
3.989921902834507,0.6198254515998439,0.00798624071388582,0.006049870793627498,3.989096214258799,0.6692785634203057,1.0,0.0,3.9982126295591103,0.6217226741015169
5.399176701818697,0.5532062560866228,0.0074916076156474175,0.00576188103498922,5.399773937404747,0.6100101738726214,1.0,0.0,5.393384456673557,0.5637548740967973
5.649105956984875,0.7129025306070905,0.009317327676891848,0.00694942019194153,5.647723034228902,0.7631886289511,1.0,0.0,5.6541049094795826,0.715126747684578
4.449847939916294,0.636688500925398,0.008338509483016792,0.00629942018976439,4.448071501854534,0.6897352495644619,1.0,0.0,4.452977598814567,0.644569514217231
6.122777209805674,0.5780454632613466,0.007556952413209918,0.005782905119716082,6.121798084474395,0.6366438368635521,1.0,0.0,6.130359410387245,0.5861397628253511
4.730410808560401,0.6386489919351314,0.008162237294640304,0.006165116455704725,4.731024409226833,0.6871201029289649,1.0,0.0,4.7396958927286645,0.6411649749779501
6.226416575624693,0.6419416919277309,0.008442843183315375,0.006374462482252823,6.224718802189529,0.6929537420244374,1.0,0.0,6.220730032328322,0.6464868864771601
3.674192120697868,0.7784314410674715,0.009948645725408595,0.007371870270096703,3.6755328951535415,0.8209630134553005,1.0,0.0,3.676257849420355,0.7784355248203461
4.159307376407988,0.6445752457171791,0.008416769642991045,0.006353025983151951,4.161716763473163,0.6967561275924992,1.0,0.0,4.165277116085512,0.6426313656518154
6.2859648750583625,0.631239115906174,0.008404763671478242,0.006349524173308734,6.28611054967497,0.6811888532732057,1.0,0.0,6.289168941873008,0.6416506904478378
5.737264720016384,0.6771932842213673,0.008803049454581793,0.006606135180726934,5.737379742868451,0.7237875540286853,1.0,0.0,5.720223153928084,0.680873237921698
7.509964293764598,0.679374199147914,0.008795976278020444,0.006599559638531062,7.510304901796416,0.7262191475419787,1.0,0.0,7.507278662160887,0.6897380129125402
8.661513234974889,0.11875905503028927,0.8427212875530745,3.731695185426616,8.711578361250588,0.4250416886467421,1.0,0.0,8.663051823763865,0.11986455994507092
8.228723640677089,0.5631469549157062,0.0075899372691526,0.0058017355942653545,8.229311461233996,0.6180329831696578,1.0,0.0,8.23395016281225,0.5710654645578227
7.6833119655399695,0.5151426768084114,0.006944630549025293,0.005427892156488792,7.683341932711727,0.5751229991238423,1.0,0.0,7.691611059038296,0.5311797799697517
10.39337579322116,0.6615877805163893,0.008576165073210447,0.006454523737574866,10.392683788877497,0.7114759413113317,1.0,0.0,10.376392025834011,0.6651556340635291
2.650207546554935,0.6831893472177822,0.00888284263606726,0.0066832377388275025,2.6503594024316453,0.7293248127089843,1.0,0.005664012683341862,2.6425924051083265,0.6782522703643605
1.8575226189016731,0.666573832271996,0.008998277839188246,0.007135636814064928,1.865165731513108,0.7045687830725575,1.0,0.0655705359131587,1.8639509657226487,0.6643488436640402
2.5477343021077283,0.7629037867811301,0.010073433047992502,0.007593732106518884,2.5514887488798013,0.8041520677868108,1.0,0.014721935999975897,2.5483098093630936,0.7656763414874821
6.663075654400946,0.6925178031744179,0.008978930513863058,0.006720547657469928,6.6643669891474815,0.7422889703294504,1.0,0.0,6.655514321757224,0.7033813306019109
6.772365572258216,0.5781391654724304,0.0077013290895660315,0.005895050048326231,6.770483562367458,0.6322795328449748,1.0,0.0,6.769820069389963,0.5795491902134093
4.595123048427607,0.7016769326431409,0.009127628077313916,0.006824173682430752,4.5934311758840805,0.7491587060582469,1.0,0.0,4.5990258937412625,0.7088641331008031
10.579747740486464,0.584696227184467,0.007917454293215482,0.006038867922335217,10.579744214314248,0.6394982983869143,1.0,0.0,10.577034756231665,0.5863493274706657
8.913513229710642,0.6292102000847308,0.008577922795346596,0.006492478947326337,8.914926635946873,0.6793293003999592,1.0,0.0,8.917517180639734,0.6357546189556026
10.082658279957412,0.45155452838242327,0.006266421904186206,0.0049107681255789295,10.082777565037537,0.5164458926058615,1.0,0.0,10.088154524348074,0.4618057633050144
5.149188503461729,0.11961513013494653,1.62008206474219,6.127061655198484,5.090635748921939,0.42242438123032666,1.0,0.0,5.146556954183173,0.12121668562488605
5.549734841692021,0.43566624815252053,0.006266676545304881,0.004831454987139511,5.552288194942283,0.5005920483129446,1.0,0.0,5.5486261325320445,0.4438112289620703
5.135768444065705,0.667208479388335,0.008562235458945574,0.0064383062885323625,5.135260715927729,0.7179032841163745,1.0,0.0,5.115596642598068,0.6713514447359991
10.810469635434085,0.5718234335421504,0.007614733672577689,0.005820835688498059,10.809740795852287,0.6274943410417162,1.0,0.0,10.813889579178056,0.5641208403501354
